,RideID,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,DelayFactor,time,date
59,60,2.0,2016-01-29 11:33:00,2016-01-29 12:05:00,1.0,9.14,-73.87505341,40.77381134,1.0,N,-73.98876953,40.75791931,1.0,32.5,0.0,0.5,0.0,5.54,0.3,38.84,1.0,1133,20160129
60,61,2.0,2016-01-29 11:33:00,2016-01-29 11:49:00,1.0,7.83,-73.87469482,40.77405167,1.0,N,-73.95222473,40.78656387,1.0,24.0,0.0,0.5,3.0,5.54,0.3,33.34,2.0,1133,20160129
76,77,1.0,2016-01-29 11:33:00,2016-01-29 12:06:00,1.0,14.1,-73.87294006,40.77393341,1.0,N,-73.95716095,40.6652565,1.0,42.0,0.0,0.5,1.0,0.0,0.3,43.8,3.0,1133,20160129
86,87,1.0,2016-01-29 11:34:00,2016-01-29 12:15:00,4.0,11.9,-73.87305450000002,40.77415085,1.0,N,-73.98580933,40.75879288,2.0,39.0,0.0,0.5,0.0,5.54,0.3,45.34,8.0,1134,20160129
87,88,2.0,2016-01-29 11:34:00,2016-01-29 12:04:00,6.0,12.46,-73.87284851,40.77410126,1.0,N,-74.00827789,40.70756912,2.0,37.0,0.0,0.5,0.0,5.54,0.3,43.34,0.0,1134,20160129
88,89,1.0,2016-01-29 11:34:00,2016-01-29 12:03:00,1.0,10.3,-73.87294006,40.77408218,1.0,N,-73.97438812,40.75645828,2.0,32.0,0.0,0.5,0.0,5.54,0.3,38.34,0.0,1134,20160129
89,90,1.0,2016-01-29 11:34:00,2016-01-29 12:00:00,1.0,9.4,-73.87284088,40.77417374,1.0,N,-73.98547363,40.72373581,1.0,29.0,0.0,0.5,5.95,0.0,0.3,35.75,0.0,1134,20160129
90,91,1.0,2016-01-29 11:34:00,2016-01-29 11:57:00,1.0,8.6,-73.87456512,40.77408218,1.0,Y,-73.96948242,40.75749588,1.0,27.0,0.0,0.5,6.65,5.54,0.3,39.99,6.0,1134,20160129
91,92,1.0,2016-01-29 11:34:00,2016-01-29 12:18:00,1.0,10.5,-73.87284851,40.77407455,1.0,N,-73.97898865,40.76220322,2.0,38.5,0.0,0.5,0.0,5.54,0.3,44.84,0.0,1134,20160129
106,107,1.0,2016-01-29 11:35:00,2016-01-29 12:01:00,1.0,14.5,-73.8729248,40.77396774,1.0,N,-74.01044464,40.70198822,1.0,40.0,0.0,0.5,5.0,5.54,0.3,51.34,0.0,1135,20160129
107,108,2.0,2016-01-29 11:35:00,2016-01-29 12:10:00,5.0,11.91,-73.87452698,40.77405167,1.0,N,-74.00920105,40.71537018,1.0,37.0,0.0,0.5,7.56,0.0,0.3,45.36,5.0,1135,20160129
108,109,2.0,2016-01-29 11:35:00,2016-01-29 12:18:00,2.0,10.94,-73.87091827,40.77368164,1.0,N,-73.98557281,40.76002121,1.0,38.0,0.0,0.5,8.87,5.54,0.3,53.21,4.0,1135,20160129
135,136,2.0,2016-01-29 11:35:00,2016-01-29 12:09:00,5.0,9.58,-73.87284088,40.77381897,1.0,N,-73.99803162,40.72246552,1.0,32.5,0.0,0.5,6.66,0.0,0.3,39.96,0.0,1135,20160129
136,137,2.0,2016-01-29 11:35:00,2016-01-29 12:19:00,5.0,11.66,-73.8745575,40.77408981,1.0,N,-73.98465729,40.76844025,2.0,40.0,0.0,0.5,0.0,5.54,0.3,46.34,0.0,1135,20160129
137,138,2.0,2016-01-29 11:35:00,2016-01-29 12:01:00,1.0,9.87,-73.87538909999998,40.77368164,1.0,N,-73.96978759999998,40.75727081,1.0,30.0,0.0,0.5,7.27,5.54,0.3,43.61,0.0,1135,20160129
138,139,2.0,2016-01-29 11:35:00,2016-01-29 12:05:00,1.0,8.96,-73.87547302,40.77362061,1.0,N,-73.98392487,40.75722504,1.0,30.0,0.0,0.5,7.27,5.54,0.3,43.61,0.0,1135,20160129
139,140,1.0,2016-01-29 11:36:00,2016-01-29 12:01:00,2.0,8.8,-73.87284851,40.77399445,1.0,N,-73.99128723,40.74956131,1.0,28.0,0.0,0.5,6.0,5.54,0.3,40.34,2.0,1136,20160129
140,141,2.0,2016-01-29 11:36:00,2016-01-29 12:19:00,1.0,12.49,-73.87535095,40.7736969,1.0,N,-73.99365234,40.75697327,1.0,44.5,0.0,0.5,10.17,5.54,0.3,61.01,5.0,1136,20160129
141,142,2.0,2016-01-29 11:37:00,2016-01-29 12:05:00,1.0,10.04,-73.87312317,40.77416992,1.0,N,-73.97312927,40.75619888,1.0,31.0,0.0,0.5,0.0,5.54,0.3,37.34,0.0,1137,20160129
142,143,2.0,2016-01-29 11:37:00,2016-01-29 12:16:00,1.0,10.95,-73.8731308,40.77412033,1.0,N,-73.98490906,40.76179123,2.0,36.5,0.0,0.5,0.0,5.54,0.3,42.84,0.0,1137,20160129
143,144,2.0,2016-01-29 11:37:00,2016-01-29 12:08:00,1.0,10.34,-73.87294769,40.77404022,1.0,N,-73.97783661,40.75857925,1.0,33.0,0.0,0.5,7.87,5.54,0.3,47.21,0.0,1137,20160129
144,145,1.0,2016-01-29 11:37:00,2016-01-29 12:08:00,1.0,10.0,-73.87454224,40.7741127,1.0,N,-73.99165344,40.72954941,1.0,31.5,0.0,0.5,6.45,0.0,0.3,38.75,0.0,1137,20160129
145,146,2.0,2016-01-29 11:37:00,2016-01-29 12:17:00,2.0,9.79,-73.87287140000002,40.77404022,1.0,N,-73.98841858,40.76168823,1.0,36.5,0.0,0.5,8.57,5.54,0.3,51.41,0.0,1137,20160129
146,147,2.0,2016-01-29 11:38:00,2016-01-29 12:01:00,1.0,9.47,-73.87313843,40.77428055,1.0,N,-73.97814178,40.71762848,1.0,28.5,0.0,0.5,5.0,0.0,0.3,34.3,2.0,1138,20160129
147,148,2.0,2016-01-29 11:38:00,2016-01-29 12:09:00,2.0,10.32,-73.87510681,40.77393723,1.0,N,-73.97263336,40.75566101,1.0,32.0,0.0,0.5,7.67,5.54,0.3,46.01,5.0,1138,20160129
148,149,1.0,2016-01-29 11:38:00,2016-01-29 11:59:00,2.0,8.7,-73.87438965,40.77378464,1.0,N,-73.96276855,40.77484894,1.0,26.5,0.0,0.5,8.2,5.54,0.3,41.04,0.0,1138,20160129
149,150,1.0,2016-01-29 11:38:00,2016-01-29 12:02:00,1.0,12.1,-73.87297058,40.77412796,1.0,Y,-73.97238922,40.75613785,1.0,35.5,0.0,0.5,8.35,5.54,0.3,50.19,0.0,1138,20160129
150,151,1.0,2016-01-29 11:39:00,2016-01-29 12:14:00,2.0,11.4,-73.87449646,40.77408218,1.0,N,-73.98693848,40.67313766,1.0,35.5,0.0,0.5,7.25,0.0,0.3,43.55,0.0,1139,20160129
151,152,2.0,2016-01-29 11:39:00,2016-01-29 12:07:00,1.0,9.84,-73.87319183,40.7741394,1.0,N,-73.98903656,40.69363022,1.0,30.0,0.0,0.5,6.16,0.0,0.3,36.96,1.0,1139,20160129
152,153,2.0,2016-01-29 11:39:00,2016-01-29 12:21:00,5.0,10.47,-73.87306213,40.77415085,1.0,N,-73.97904968,40.76202011,1.0,38.5,0.0,0.5,11.21,5.54,0.3,56.05,4.0,1139,20160129
153,154,2.0,2016-01-29 11:39:00,2016-01-29 12:13:00,5.0,11.22,-73.87297821,40.77416992,1.0,N,-73.98353577,40.73842239,1.0,36.0,0.0,0.5,10.58,5.54,0.3,52.92,9.0,1139,20160129
154,155,2.0,2016-01-29 11:40:00,2016-01-29 12:18:00,1.0,10.19,-73.87294769,40.77408981,1.0,N,-73.97563934,40.76055908,1.0,36.0,0.0,0.5,5.0,5.54,0.3,47.34,0.0,1140,20160129
155,156,2.0,2016-01-29 11:40:00,2016-01-29 12:10:00,1.0,9.04,-73.87454987,40.77411652,1.0,N,-73.9535675,40.71157837,1.0,30.0,0.0,0.5,6.16,0.0,0.3,36.96,0.0,1140,20160129
156,157,2.0,2016-01-29 11:40:00,2016-01-29 12:27:00,2.0,10.62,-73.87483215,40.77394867,1.0,N,-73.98203278,40.76259995,1.0,40.5,0.0,0.5,8.0,5.54,0.3,54.84,2.0,1140,20160129
157,158,1.0,2016-01-29 11:40:00,2016-01-29 12:06:00,1.0,11.8,-73.87281036,40.77412796,1.0,N,-73.89982605,40.87302017,1.0,35.0,0.0,0.5,12.55,5.54,0.3,53.89,0.0,1140,20160129
158,159,2.0,2016-01-29 11:57:00,2016-01-29 12:08:00,1.0,3.66,-73.87448883,40.77410889,1.0,N,-73.83265686,40.76100922,2.0,13.5,0.0,0.5,0.0,0.0,0.3,14.3,4.0,1157,20160129
159,160,2.0,2016-01-29 11:57:00,2016-01-29 12:22:00,1.0,12.6,-73.87384796,40.77134705,5.0,N,-73.72241974,40.78634644,1.0,60.0,0.0,0.5,12.16,0.0,0.3,72.96,7.0,1157,20160129
160,161,2.0,2016-01-29 11:58:00,2016-01-29 12:24:00,2.0,8.78,-73.87306213,40.77410889,1.0,N,-73.97167969,40.75727081,1.0,29.5,0.0,0.5,5.0,5.54,0.3,40.84,1.0,1158,20160129
161,162,2.0,2016-01-29 11:58:00,2016-01-29 12:35:00,5.0,8.99,-73.87320709,40.77408981,1.0,N,-73.98606873,40.75818634,1.0,35.0,0.0,0.5,8.27,5.54,0.3,49.61,0.0,1158,20160129
162,163,1.0,2016-01-29 11:58:00,2016-01-29 12:49:00,1.0,11.5,-73.87444305,40.7739563,1.0,N,-73.98683929,40.76095581,1.0,42.0,0.0,0.5,9.65,5.54,0.3,57.99,0.0,1158,20160129
163,164,1.0,2016-01-29 11:58:00,2016-01-29 12:10:00,1.0,3.2,-73.87458038,40.774086,1.0,N,-73.88987732,40.74591446,1.0,12.5,0.0,0.5,2.0,0.0,0.3,15.3,8.0,1158,20160129
164,165,1.0,2016-01-29 11:59:00,2016-01-29 12:37:00,1.0,12.1,-73.87309265,40.77406311,1.0,N,-73.97920227,40.76184082,1.0,40.5,0.0,0.5,9.35,5.54,0.3,56.19,5.0,1159,20160129
165,166,1.0,2016-01-29 11:59:00,2016-01-29 12:18:00,3.0,8.0,-73.87295532,40.77401352,1.0,N,-73.97667694,40.75133514,2.0,25.5,0.0,0.5,0.0,5.54,0.3,31.84,0.0,1159,20160129
166,167,2.0,2016-01-29 11:59:00,2016-01-29 12:40:00,1.0,10.56,-73.8714447,40.77407837,1.0,N,-73.94715118,40.67819214,1.0,35.5,0.0,0.5,7.26,0.0,0.3,43.56,0.0,1159,20160129
167,168,2.0,2016-01-29 11:59:00,2016-01-29 12:15:00,6.0,7.53,-73.87462616,40.77406311,1.0,N,-73.94841766,40.7893219,2.0,22.5,0.0,0.5,0.0,5.54,0.3,28.84,3.0,1159,20160129
168,169,2.0,2016-01-29 11:59:00,2016-01-29 12:44:00,1.0,9.12,-73.87451935,40.77408981,1.0,N,-73.95966339,40.68524933,1.0,37.5,0.0,0.5,9.58,0.0,0.3,47.88,2.0,1159,20160129
169,170,1.0,2016-01-29 11:59:00,2016-01-29 12:31:00,1.0,10.7,-73.87274933,40.77419662,1.0,N,-73.97638702,40.6652565,1.0,33.0,0.0,0.5,10.1,0.0,0.3,43.9,1.0,1159,20160129
170,171,1.0,2016-01-29 11:59:00,2016-01-29 12:40:00,1.0,13.0,-73.87315369,40.7740593,1.0,N,-73.99123383,40.66073227,2.0,41.0,0.0,0.5,0.0,0.0,0.3,41.8,3.0,1159,20160129
171,172,2.0,2016-01-29 11:59:00,2016-01-29 12:44:00,2.0,12.24,-73.87465668,40.774086,1.0,N,-74.0092392,40.70716858,1.0,41.5,0.0,0.5,8.46,0.0,0.3,50.76,8.0,1159,20160129
172,173,1.0,2016-01-29 12:00:00,2016-01-29 12:43:00,1.0,10.4,-73.87301636,40.77415466,1.0,N,-73.98158264,40.76236343,2.0,37.5,0.0,0.5,0.0,5.54,0.3,43.84,0.0,1200,20160129
